t_wall,t_rel,armed,mode,alt,alt_sp,climb_rate,a_up,a_total,a_cmd,thrust,x,y,x_filt,y_filt,dxy,vx,vy,roll_deg,pitch_deg,yaw_deg,roll_ref_deg,pitch_ref_deg,roll_rate,pitch_rate,yaw_rate,pwm_roll,pwm_pitch,pwm_yaw,pwm_thr,dt_ms,sched_slip_ms,att_age_ms,pos_age_ms
1787304377.853,15.948,True,1,0.038,0.038,0.106,-0.320,9.487,9.476,0.302,3.362,0.483,3.360,0.468,0.016,0.006,0.001,2.47,-1.23,159.85,0.04,-0.06,-0.255,0.122,-0.005,1451,1466,1479,1502,0.00,10.00,-0.11,-0.16
1787304377.863,15.957,True,1,0.038,0.041,0.106,-0.308,9.499,9.488,0.303,3.362,0.483,3.361,0.468,0.016,0.006,0.001,2.47,-1.23,159.85,0.04,-0.06,-0.255,0.123,-0.005,1451,1466,1479,1502,10.07,10.07,9.96,9.91
1787304377.873,15.967,True,1,0.038,0.044,0.106,-0.296,9.511,9.500,0.303,3.362,0.483,3.361,0.469,0.016,0.006,0.001,2.47,-1.23,159.85,0.04,-0.06,-0.254,0.123,-0.005,1452,1466,1479,1503,9.99,10.06,19.95,19.90
1787304377.883,15.977,True,1,0.038,0.047,0.106,-0.284,9.523,9.512,0.304,3.362,0.483,3.361,0.469,0.016,0.006,0.001,2.47,-1.23,159.85,0.05,-0.06,-0.254,0.123,-0.005,1452,1466,1479,1503,10.00,10.06,29.95,29.90
1787304377.893,15.987,True,1,0.038,0.050,0.106,-0.272,9.535,9.524,0.304,3.362,0.483,3.361,0.470,0.016,0.006,0.001,2.47,-1.23,159.85,0.05,-0.06,-0.254,0.123,-0.005,1452,1466,1479,1504,10.00,10.06,39.96,39.91
1787304377.903,15.997,True,1,0.038,0.053,0.106,-0.260,9.547,9.537,0.304,3.362,0.483,3.361,0.470,0.016,0.006,0.001,2.47,-1.23,159.85,0.05,-0.05,-0.253,0.123,-0.005,1452,1466,1479,1504,10.00,10.06,49.96,49.91
1787304377.914,16.008,True,1,0.040,0.056,0.105,-0.252,9.554,9.544,0.305,3.362,0.484,3.361,0.470,0.017,0.007,0.002,2.47,-1.23,159.85,0.07,-0.06,-0.252,0.123,-0.005,1452,1466,1479,1504,10.00,10.06,-0.38,-0.43
1787304377.923,16.017,True,1,0.040,0.059,0.105,-0.240,9.566,9.556,0.305,3.362,0.484,3.361,0.471,0.017,0.007,0.002,2.47,-1.23,159.85,0.07,-0.06,-0.251,0.123,-0.005,1452,1466,1479,1505,10.00,10.06,-0.07,9.57
1787304377.933,16.027,True,1,0.041,0.062,0.105,-0.230,9.577,9.566,0.305,3.362,0.484,3.361,0.471,0.017,0.007,0.002,2.47,-1.23,159.85,0.07,-0.05,-0.251,0.124,-0.005,1452,1466,1479,1505,10.00,10.06,-0.10,-0.05
1787304377.943,16.037,True,1,0.041,0.065,0.105,-0.218,9.589,9.578,0.306,3.362,0.484,3.361,0.472,0.017,0.007,0.002,2.47,-1.23,159.85,0.07,-0.05,-0.251,0.124,-0.005,1452,1466,1479,1506,10.00,10.06,9.90,9.95
1787304377.953,16.047,True,1,0.041,0.068,0.105,-0.206,9.601,9.591,0.306,3.362,0.484,3.361,0.472,0.017,0.007,0.002,2.47,-1.23,159.85,0.08,-0.05,-0.250,0.124,-0.005,1452,1466,1479,1506,10.00,10.06,19.90,19.95
1787304377.963,16.057,True,1,0.041,0.071,0.105,-0.193,9.613,9.603,0.307,3.362,0.484,3.361,0.473,0.017,0.007,0.002,2.47,-1.23,159.85,0.08,-0.05,-0.250,0.124,-0.005,1452,1466,1479,1507,10.00,10.06,29.90,29.95
1787304377.973,16.068,True,1,0.042,0.074,0.104,-0.183,9.624,9.613,0.307,3.361,0.485,3.361,0.473,0.017,0.006,0.001,2.47,-1.23,159.85,0.07,-0.05,-0.252,0.124,-0.005,1452,1466,1479,1507,10.00,10.06,-0.22,-0.17
1787304377.983,16.077,True,1,0.042,0.077,0.104,-0.171,9.636,9.625,0.307,3.361,0.485,3.361,0.473,0.017,0.006,0.001,2.47,-1.23,159.85,0.07,-0.05,-0.252,0.124,-0.005,1452,1466,1479,1507,10.00,10.06,9.78,9.83
1787304377.993,16.087,True,1,0.042,0.080,0.104,-0.158,9.648,9.638,0.308,3.361,0.485,3.361,0.474,0.017,0.006,0.001,2.47,-1.23,159.85,0.07,-0.05,-0.251,0.124,-0.005,1452,1466,1479,1508,10.00,10.06,19.78,19.83
1787304378.003,16.097,True,1,0.042,0.083,0.104,-0.146,9.661,9.650,0.308,3.361,0.485,3.361,0.474,0.017,0.006,0.001,2.47,-1.23,159.85,0.08,-0.05,-0.251,0.124,-0.005,1452,1466,1479,1508,10.00,10.06,29.78,29.83
1787304378.013,16.108,True,1,0.043,0.086,0.102,-0.131,9.676,9.666,0.309,3.361,0.486,3.361,0.475,0.018,0.006,0.002,2.47,-1.24,159.85,0.09,-0.04,-0.249,0.125,-0.005,1452,1466,1479,1509,10.00,10.06,-0.30,-0.35
1787304378.023,16.117,True,1,0.043,0.089,0.102,-0.118,9.689,9.678,0.309,3.361,0.486,3.361,0.475,0.018,0.006,0.002,2.47,-1.24,159.85,0.09,-0.04,-0.249,0.126,-0.005,1452,1466,1479,1509,10.00,10.06,9.70,9.65
1787304378.033,16.127,True,1,0.043,0.092,0.102,-0.106,9.701,9.691,0.309,3.361,0.486,3.361,0.475,0.018,0.006,0.002,2.47,-1.24,159.85,0.10,-0.04,-0.249,0.126,-0.005,1452,1466,1479,1510,10.00,10.06,19.70,19.65
1787304378.043,16.138,True,1,0.044,0.095,0.101,-0.093,9.714,9.703,0.310,3.361,0.486,3.361,0.476,0.019,0.006,0.001,2.47,-1.23,159.85,0.09,-0.04,-0.250,0.125,-0.005,1452,1466,1479,1510,10.00,10.06,-0.17,-0.12
1787304378.053,16.147,True,1,0.044,0.098,0.101,-0.080,9.726,9.716,0.310,3.361,0.486,3.361,0.476,0.019,0.006,0.001,2.47,-1.23,159.85,0.09,-0.04,-0.249,0.125,-0.005,1452,1466,1479,1511,10.00,10.06,9.83,9.88
1787304378.063,16.157,True,1,0.044,0.101,0.101,-0.068,9.739,9.729,0.311,3.361,0.486,3.361,0.476,0.019,0.006,0.001,2.47,-1.23,159.85,0.09,-0.04,-0.249,0.125,-0.005,1452,1466,1479,1511,10.00,10.06,19.83,19.88
1787304378.073,16.167,True,1,0.044,0.104,0.101,-0.055,9.752,9.741,0.311,3.361,0.486,3.361,0.477,0.019,0.006,0.001,2.47,-1.23,159.85,0.09,-0.04,-0.249,0.125,-0.005,1452,1466,1479,1512,10.00,10.06,29.83,29.88
1787304378.083,16.177,True,1,0.044,0.107,0.101,-0.042,9.764,9.754,0.311,3.361,0.486,3.361,0.477,0.019,0.006,0.001,2.47,-1.23,159.85,0.10,-0.04,-0.249,0.125,-0.005,1452,1466,1479,1512,10.00,10.06,39.83,39.88
1787304378.093,16.187,True,1,0.044,0.110,0.101,-0.030,9.777,9.766,0.312,3.361,0.486,3.361,0.477,0.019,0.006,0.001,2.47,-1.23,159.85,0.10,-0.04,-0.249,0.125,-0.005,1452,1466,1479,1513,10.00,10.06,49.83,49.88
1787304378.104,16.198,True,1,0.045,0.113,0.100,-0.020,9.787,9.777,0.312,3.360,0.488,3.361,0.478,0.020,0.005,0.002,2.48,-1.24,159.85,0.11,-0.02,-0.248,0.128,-0.005,1452,1465,1479,1513,10.00,10.06,-0.40,-0.45
1787304378.113,16.207,True,1,0.045,0.116,0.100,-0.007,9.800,9.789,0.312,3.360,0.488,3.361,0.478,0.020,0.005,0.002,2.48,-1.24,159.85,0.11,-0.02,-0.248,0.128,-0.005,1452,1465,1479,1513,10.00,10.06,9.60,9.55
1787304378.123,16.217,True,1,0.045,0.119,0.100,0.006,9.813,9.802,0.313,3.360,0.488,3.361,0.478,0.020,0.005,0.002,2.48,-1.24,159.85,0.11,-0.02,-0.248,0.128,-0.005,1452,1465,1479,1514,10.00,10.06,19.60,19.55
1787304378.133,16.227,True,1,0.045,0.122,0.100,0.019,9.825,9.815,0.313,3.360,0.488,3.361,0.479,0.020,0.005,0.002,2.48,-1.24,159.85,0.11,-0.02,-0.247,0.128,-0.005,1452,1465,1479,1514,10.00,10.06,29.60,29.55
1787304378.143,16.237,True,1,0.045,0.125,0.100,0.031,9.838,9.828,0.314,3.360,0.488,3.361,0.479,0.020,0.005,0.002,2.48,-1.24,159.85,0.11,-0.01,-0.247,0.128,-0.005,1452,1465,1479,1515,10.00,10.06,39.60,39.55
1787304378.153,16.247,True,1,0.045,0.128,0.100,0.044,9.851,9.840,0.314,3.360,0.488,3.361,0.479,0.020,0.005,0.002,2.48,-1.24,159.85,0.12,-0.01,-0.247,0.128,-0.005,1452,1465,1479,1515,10.00,10.06,49.60,49.55
1787304378.163,16.257,True,1,0.045,0.131,0.100,0.057,9.864,9.853,0.314,3.360,0.488,3.361,0.479,0.020,0.005,0.002,2.48,-1.24,159.85,0.12,-0.01,-0.247,0.128,-0.005,1452,1465,1479,1516,10.00,10.06,59.60,59.55
1787304378.173,16.267,True,1,0.045,0.134,0.100,0.070,9.877,9.866,0.315,3.360,0.488,3.361,0.480,0.020,0.005,0.002,2.48,-1.24,159.85,0.12,-0.01,-0.247,0.128,-0.005,1452,1465,1479,1516,10.00,10.06,69.60,69.55
1787304378.183,16.277,True,1,0.045,0.137,0.100,0.083,9.890,9.879,0.315,3.360,0.488,3.361,0.480,0.020,0.005,0.002,2.48,-1.24,159.85,0.12,-0.01,-0.247,0.128,-0.005,1452,1465,1479,1517,10.01,10.07,79.61,79.56
1787304378.194,16.288,True,1,0.047,0.140,0.098,0.094,9.901,9.890,0.316,3.359,0.489,3.361,0.480,0.022,0.005,0.002,2.48,-1.24,159.85,0.12,-0.01,-0.246,0.128,-0.005,1452,1465,1479,1517,10.00,10.07,-0.59,-0.63
1787304378.203,16.297,True,1,0.047,0.143,0.098,0.107,9.914,9.903,0.316,3.359,0.489,3.361,0.481,0.022,0.005,0.002,2.48,-1.24,159.85,0.13,-0.01,-0.246,0.128,-0.005,1452,1465,1479,1517,9.99,10.06,9.41,9.36
1787304378.213,16.307,True,1,0.047,0.146,0.098,0.120,9.927,9.916,0.316,3.359,0.489,3.361,0.481,0.022,0.005,0.002,2.48,-1.24,159.85,0.13,-0.01,-0.246,0.128,-0.005,1452,1465,1479,1518,10.00,10.06,19.41,19.36
1787304378.223,16.317,True,1,0.047,0.149,0.098,0.133,9.940,9.929,0.317,3.359,0.489,3.361,0.481,0.022,0.005,0.002,2.48,-1.24,159.85,0.13,-0.01,-0.246,0.129,-0.005,1452,1465,1479,1518,10.00,10.06,29.41,29.36
1787304378.233,16.327,True,1,0.047,0.152,0.098,0.146,9.953,9.942,0.317,3.359,0.489,3.361,0.481,0.022,0.005,0.002,2.48,-1.24,159.85,0.13,-0.01,-0.245,0.129,-0.005,1452,1465,1479,1519,10.00,10.06,39.41,39.36
1787304378.243,16.337,True,1,0.047,0.155,0.098,0.159,9.966,9.955,0.318,3.359,0.489,3.360,0.482,0.022,0.005,0.002,2.48,-1.24,159.85,0.13,-0.01,-0.245,0.129,-0.005,1453,1465,1479,1519,10.00,10.06,49.41,49.36
1787304378.254,16.348,True,1,0.049,0.158,0.097,0.167,9.974,9.963,0.318,3.359,0.490,3.360,0.482,0.023,0.005,0.002,2.48,-1.24,159.85,0.13,-0.01,-0.245,0.130,-0.005,1453,1465,1479,1520,10.00,10.06,-0.48,-0.43
1787304378.263,16.357,True,1,0.049,0.161,0.097,0.181,9.987,9.977,0.318,3.359,0.490,3.360,0.482,0.023,0.005,0.002,2.48,-1.24,159.85,0.14,-0.01,-0.245,0.130,-0.005,1453,1465,1479,1520,10.00,10.06,9.52,9.57
1787304378.273,16.368,True,1,0.050,0.164,0.096,0.193,10.000,9.990,0.319,3.359,0.491,3.360,0.483,0.023,0.006,0.003,2.48,-1.24,159.85,0.14,-0.01,-0.244,0.129,-0.005,1453,1465,1479,1521,10.00,10.06,-0.11,-0.16
1787304378.283,16.377,True,1,0.050,0.167,0.096,0.207,10.013,10.003,0.319,3.359,0.491,3.360,0.483,0.023,0.006,0.003,2.48,-1.24,159.85,0.15,-0.01,-0.244,0.130,-0.005,1453,1465,1479,1521,10.00,10.06,9.89,9.84
1787304378.293,16.387,True,1,0.050,0.170,0.096,0.220,10.027,10.016,0.320,3.359,0.491,3.360,0.483,0.023,0.006,0.003,2.48,-1.24,159.85,0.15,-0.00,-0.244,0.130,-0.005,1453,1465,1479,1522,10.00,10.06,19.89,19.84
1787304378.303,16.397,True,1,0.050,0.173,0.096,0.233,10.040,10.029,0.320,3.359,0.491,3.360,0.483,0.023,0.006,0.003,2.48,-1.24,159.85,0.15,-0.00,-0.244,0.130,-0.005,1453,1465,1479,1522,10.00,10.06,29.89,29.84
1787304378.313,16.407,True,1,0.050,0.176,0.096,0.246,10.053,10.042,0.321,3.359,0.491,3.360,0.484,0.023,0.006,0.003,2.48,-1.24,159.85,0.15,-0.00,-0.243,0.130,-0.005,1453,1465,1479,1522,10.00,10.06,39.89,39.84
