t_wall,t_rel,armed,mode,alt,alt_sp,climb_rate,a_up,a_north,a_east,x,y,x_filt,y_filt,dxy,vx,vy,yaw_deg,dt_ms,sched_slip_ms,att_age_ms,pos_age_ms
1787304282.096,6.007,True,4,2.709,3.000,0.658,-0.810,-0.442,0.525,2.699,1.166,2.692,1.023,0.143,0.245,-0.291,155.57,0.00,100.00,0.13,0.08
1787304282.196,6.107,True,4,2.779,3.000,0.555,-0.761,-0.458,0.537,2.723,1.135,2.702,1.060,0.116,0.247,-0.324,154.87,100.07,100.07,-0.23,-0.29
1787304282.296,6.207,True,4,2.836,3.000,0.502,-0.814,-0.458,0.479,2.744,1.105,2.716,1.075,0.097,0.238,-0.302,154.31,99.99,100.06,-0.18,-0.23
1787304282.396,6.307,True,4,2.893,3.000,0.431,-0.818,-0.426,0.418,2.767,1.074,2.733,1.075,0.091,0.208,-0.268,154.16,100.00,100.06,-0.17,-0.24
1787304282.496,6.407,True,4,2.932,3.000,0.327,-0.652,-0.362,0.403,2.780,1.045,2.749,1.065,0.091,0.162,-0.254,154.52,100.00,100.06,-0.19,-0.24
1787304282.596,6.507,True,4,2.969,3.000,0.224,-0.487,-0.303,0.404,2.794,1.023,2.764,1.051,0.102,0.118,-0.245,154.61,100.00,100.06,-0.17,-0.22
1787304282.696,6.607,True,4,2.996,3.000,0.161,-0.406,-0.236,0.339,2.804,1.002,2.777,1.034,0.114,0.071,-0.199,154.51,100.00,100.07,-0.19,-0.24
1787304282.796,6.707,True,4,3.014,3.000,0.106,-0.318,-0.178,0.279,2.808,0.982,2.787,1.017,0.123,0.031,-0.153,154.71,100.00,100.07,-0.19,-0.24
1787304282.896,6.807,True,4,3.026,3.000,0.053,-0.209,-0.114,0.253,2.808,0.965,2.794,1.000,0.130,-0.010,-0.127,155.30,100.00,100.06,-0.17,-0.22
1787304282.996,6.907,True,4,3.035,3.000,0.049,-0.234,-0.063,0.105,2.805,0.954,2.798,0.984,0.132,-0.042,-0.034,155.98,100.00,100.06,-0.18,-0.23
1787304283.096,7.007,True,4,3.041,3.000,-0.010,-0.083,-0.010,0.093,2.799,0.949,2.798,0.973,0.130,-0.073,-0.020,156.72,100.00,100.06,-0.24,-0.29
1787304283.196,7.107,True,4,3.043,3.000,-0.020,-0.067,0.024,-0.005,2.791,0.950,2.796,0.965,0.123,-0.091,0.041,157.40,100.01,100.07,-0.22,-0.27
1787304283.296,7.207,True,4,3.043,3.000,-0.008,-0.109,0.042,-0.095,2.781,0.956,2.791,0.962,0.112,-0.099,0.093,157.99,99.99,100.06,-0.17,-0.22
1787304283.396,7.307,True,4,3.046,3.000,0.004,-0.159,0.041,-0.141,2.772,0.964,2.784,0.963,0.099,-0.095,0.119,158.40,100.00,100.07,-0.21,-0.26
