t_wall,t_rel,armed,mode,alt,alt_sp,climb_rate,a_up,a_north,a_east,x,y,x_filt,y_filt,dxy,vx,vy,yaw_deg,dt_ms,sched_slip_ms,att_age_ms,pos_age_ms
1787304283.496,7.407,True,4,3.049,3.000,-0.035,-0.061,0.024,-0.082,2.763,0.974,2.777,0.966,0.086,-0.082,0.085,158.78,99.99,100.06,-0.20,-0.25
1787304283.596,7.507,True,4,3.050,3.000,-0.028,-0.091,0.006,-0.105,2.755,0.983,2.770,0.972,0.075,-0.068,0.094,159.11,100.00,100.06,-0.17,-0.22
1787304283.696,7.607,True,4,3.050,3.000,-0.044,-0.049,-0.000,-0.060,2.748,0.991,2.763,0.978,0.064,-0.061,0.066,159.19,100.01,100.07,-0.20,-0.25
1787304283.796,7.707,True,4,3.051,3.000,-0.027,-0.110,-0.028,-0.021,2.742,0.997,2.756,0.985,0.056,-0.041,0.040,158.94,100.00,100.07,-0.19,-0.24
1787304283.896,7.807,True,4,3.054,3.000,-0.010,-0.176,-0.027,-0.022,2.737,1.001,2.749,0.990,0.050,-0.038,0.037,158.29,100.00,100.06,-0.18,-0.23
1787304283.996,7.907,True,4,3.054,3.000,-0.030,-0.121,-0.043,-0.021,2.734,1.004,2.744,0.995,0.046,-0.027,0.034,157.54,100.00,100.06,-0.17,-0.22
1787304284.096,8.007,True,4,3.051,3.000,-0.045,-0.071,-0.058,-0.065,2.732,1.010,2.740,1.000,0.042,-0.016,0.055,156.79,100.00,100.06,-0.24,-0.29
1787304284.196,8.107,True,4,3.045,3.000,-0.066,0.011,-0.082,-0.118,2.731,1.017,2.737,1.006,0.040,-0.001,0.081,156.21,100.01,100.07,-0.22,-0.27
1787304284.296,8.207,True,4,3.037,3.000,-0.103,0.152,-0.078,-0.116,2.731,1.027,2.735,1.013,0.039,-0.002,0.075,155.64,99.99,100.06,-0.17,-0.23
1787304284.396,8.307,True,4,3.028,3.000,-0.073,0.094,-0.071,-0.217,2.731,1.039,2.734,1.021,0.042,-0.006,0.126,155.17,100.00,100.06,-0.17,-0.22
1787304284.496,8.408,True,4,3.021,3.000,-0.083,0.150,-0.050,-0.197,2.729,1.053,2.732,1.032,0.048,-0.017,0.107,155.01,100.02,100.08,-0.35,-0.40
1787304284.596,8.507,True,4,3.016,3.000,-0.067,0.121,-0.034,-0.182,2.725,1.066,2.730,1.043,0.055,-0.025,0.091,155.13,99.99,100.07,-0.29,-0.34
1787304284.696,8.607,True,4,3.013,3.000,-0.018,-0.016,-0.006,-0.191,2.721,1.077,2.727,1.055,0.061,-0.039,0.088,155.39,99.99,100.07,-0.20,-0.25
1787304284.796,8.707,True,4,3.012,3.000,-0.038,0.047,0.010,-0.079,2.715,1.084,2.723,1.065,0.066,-0.046,0.019,155.72,100.00,100.07,-0.17,-0.22
1787304284.896,8.807,True,4,3.011,3.000,-0.025,0.010,0.024,-0.016,2.708,1.087,2.718,1.072,0.066,-0.050,-0.021,156.04,100.00,100.06,-0.18,-0.23
1787304284.996,8.907,True,4,3.012,3.000,-0.005,-0.051,0.036,-0.001,2.702,1.084,2.713,1.076,0.062,-0.054,-0.033,156.30,100.00,100.06,-0.17,-0.21
1787304285.096,9.007,True,4,3.012,3.000,-0.042,0.057,0.060,0.104,2.694,1.078,2.707,1.076,0.055,-0.063,-0.092,156.44,100.00,100.06,-0.25,-0.30
1787304285.196,9.107,True,4,3.011,3.000,-0.009,-0.041,0.055,0.090,2.687,1.070,2.700,1.074,0.047,-0.056,-0.084,156.49,100.00,100.06,-0.17,-0.22
1787304285.296,9.207,True,4,3.011,3.000,-0.029,0.020,0.075,0.151,2.678,1.060,2.693,1.069,0.040,-0.062,-0.115,156.42,100.00,100.06,-0.18,-0.23
1787304285.396,9.307,True,4,3.010,3.000,-0.005,-0.048,0.082,0.102,2.670,1.051,2.685,1.063,0.035,-0.061,-0.084,156.28,100.00,100.06,-0.17,-0.21
1787304285.496,9.407,True,4,3.009,3.000,-0.042,0.065,0.087,0.095,2.663,1.042,2.678,1.056,0.035,-0.059,-0.076,156.01,100.00,100.06,-0.16,-0.21
1787304285.596,9.507,True,4,3.009,3.000,-0.044,0.069,0.107,0.071,2.656,1.035,2.671,1.049,0.038,-0.064,-0.058,155.77,100.00,100.06,-0.19,-0.24
1787304285.696,9.607,True,4,3.009,3.000,-0.027,0.020,0.086,-0.010,2.649,1.031,2.663,1.043,0.043,-0.048,-0.009,155.56,100.00,100.06,-0.17,-0.22
1787304285.796,9.707,True,4,3.008,3.000,-0.031,0.030,0.097,-0.052,2.643,1.030,2.657,1.039,0.050,-0.049,0.017,155.66,100.00,100.06,-0.16,-0.21
1787304285.896,9.807,True,4,3.008,3.000,-0.014,-0.020,0.095,-0.096,2.636,1.031,2.650,1.036,0.056,-0.043,0.043,156.09,100.00,100.06,-0.16,-0.21
1787304285.996,9.907,True,4,3.009,3.000,-0.011,-0.032,0.087,-0.157,2.630,1.035,2.643,1.036,0.063,-0.034,0.077,156.72,100.00,100.06,-0.16,-0.21
1787304286.096,10.007,True,4,3.011,3.000,-0.027,0.004,0.082,-0.124,2.625,1.039,2.637,1.037,0.069,-0.026,0.058,157.10,100.00,100.06,-0.24,-0.29
1787304286.196,10.107,True,4,3.015,3.000,-0.035,0.013,0.088,-0.081,2.620,1.042,2.631,1.038,0.075,-0.025,0.033,157.00,100.00,100.06,-0.19,-0.24
1787304286.296,10.207,True,4,3.018,3.000,-0.045,0.027,0.081,-0.045,2.616,1.042,2.626,1.040,0.079,-0.017,0.012,156.63,100.00,100.07,-0.20,-0.25
1787304286.396,10.307,True,4,3.020,3.000,-0.096,0.173,0.074,0.073,2.613,1.038,2.622,1.039,0.080,-0.009,-0.053,156.33,100.00,100.06,-0.17,-0.22
1787304286.496,10.407,True,4,3.018,3.000,-0.120,0.251,0.087,0.138,2.611,1.029,2.618,1.036,0.081,-0.014,-0.088,155.78,100.00,100.06,-0.17,-0.23
1787304286.596,10.507,True,4,3.015,3.000,-0.095,0.185,0.087,0.159,2.608,1.020,2.615,1.030,0.084,-0.010,-0.096,155.04,100.02,100.08,-0.27,-0.31
1787304286.696,10.607,True,4,3.016,3.000,-0.051,0.048,0.163,0.199,2.604,1.009,2.611,1.023,0.089,-0.050,-0.113,154.29,99.99,100.06,-0.18,-0.23
1787304286.796,10.707,True,4,3.024,3.000,0.013,-0.180,0.168,0.185,2.599,0.998,2.607,1.015,0.096,-0.048,-0.100,153.65,100.00,100.07,-0.16,-0.21
1787304286.896,10.807,True,4,3.037,3.000,0.041,-0.321,0.181,0.150,2.593,0.990,2.602,1.007,0.105,-0.051,-0.074,153.39,99.99,100.06,-0.16,-0.21
1787304286.996,10.907,True,4,3.056,3.000,0.058,-0.450,0.152,0.125,2.587,0.983,2.597,0.999,0.112,-0.031,-0.055,153.41,100.00,100.06,-0.16,-0.20
1787304287.096,11.007,True,4,3.073,3.000,0.013,-0.395,0.142,0.072,2.583,0.978,2.593,0.992,0.117,-0.021,-0.021,153.14,100.00,100.06,-0.24,-0.29
1787304287.196,11.107,True,4,3.090,3.000,-0.018,-0.374,0.120,0.041,2.581,0.975,2.589,0.986,0.121,-0.005,0.001,152.74,100.00,100.06,-0.18,-0.23
1787304287.296,11.207,True,4,3.102,3.000,-0.055,-0.323,0.102,0.008,2.580,0.975,2.586,0.982,0.122,0.008,0.022,152.46,100.00,100.06,-0.16,-0.21
1787304287.396,11.307,True,4,3.106,3.000,-0.154,-0.053,0.102,-0.002,2.580,0.978,2.584,0.981,0.121,0.011,0.029,152.40,100.00,100.06,-0.20,-0.25
1787304287.496,11.407,True,4,3.104,3.000,-0.183,0.033,0.071,-0.032,2.581,0.982,2.583,0.981,0.118,0.030,0.046,152.42,100.00,100.06,-0.17,-0.22
1787304287.596,11.507,True,4,3.096,3.000,-0.252,0.263,0.049,-0.005,2.584,0.987,2.583,0.983,0.114,0.043,0.030,152.67,100.00,100.06,-0.20,-0.24
1787304287.696,11.607,True,4,3.086,3.000,-0.224,0.209,0.020,0.000,2.590,0.992,2.585,0.986,0.107,0.059,0.026,153.07,100.00,100.06,-0.17,-0.22
1787304287.796,11.707,True,4,3.078,3.000,-0.197,0.149,-0.016,-0.001,2.598,0.997,2.589,0.990,0.098,0.077,0.024,153.30,100.00,100.07,-0.18,-0.23
1787304287.896,11.807,True,4,3.073,3.000,-0.183,0.124,-0.059,0.035,2.608,1.003,2.596,0.994,0.086,0.098,0.001,153.33,99.99,100.06,-0.16,-0.21
1787304287.996,11.907,True,4,3.070,3.000,-0.230,0.268,-0.106,0.083,2.621,1.006,2.604,0.998,0.073,0.120,-0.028,153.33,100.00,100.06,-0.16,-0.21
1787304288.096,12.007,True,4,3.067,3.000,-0.155,0.048,-0.184,0.063,2.641,1.008,2.616,1.001,0.053,0.155,-0.018,153.37,100.00,100.06,-0.36,-0.41
1787304288.196,12.107,True,4,3.067,3.000,-0.174,0.100,-0.186,0.132,2.657,1.006,2.630,1.003,0.039,0.148,-0.057,153.46,100.00,100.06,-0.18,-0.23
1787304288.296,12.207,True,4,3.070,3.000,-0.136,-0.031,-0.240,0.150,2.672,1.001,2.644,1.002,0.029,0.169,-0.067,153.78,100.00,100.06,-0.16,-0.21
1787304288.396,12.307,True,4,3.079,3.000,-0.076,-0.257,-0.241,0.138,2.688,0.995,2.659,1.000,0.028,0.160,-0.058,154.31,100.01,100.07,-0.24,-0.30
1787304288.496,12.407,True,4,3.093,3.000,-0.087,-0.289,-0.216,0.170,2.702,0.988,2.673,0.996,0.036,0.137,-0.073,154.54,100.00,100.07,-0.22,-0.27
1787304288.596,12.507,True,4,3.107,3.000,-0.133,-0.218,-0.210,0.200,2.715,0.980,2.687,0.991,0.048,0.125,-0.086,154.67,99.99,100.06,-0.18,-0.23
1787304288.696,12.607,True,4,3.118,3.000,-0.208,-0.050,-0.197,0.198,2.727,0.972,2.700,0.984,0.062,0.109,-0.080,154.54,100.00,100.06,-0.17,-0.22
1787304288.796,12.707,True,4,3.126,3.000,-0.216,-0.071,-0.184,0.147,2.737,0.964,2.712,0.978,0.074,0.093,-0.047,154.44,100.00,100.06,-0.16,-0.21
1787304288.896,12.807,True,4,3.133,3.000,-0.291,0.113,-0.185,0.160,2.746,0.957,2.724,0.971,0.085,0.085,-0.049,154.23,100.00,100.06,-0.16,-0.21
1787304288.996,12.907,True,4,3.136,3.000,-0.290,0.085,-0.185,0.138,2.751,0.955,2.733,0.965,0.090,0.079,-0.033,154.03,100.00,100.06,-0.06,-0.11
1787304289.096,13.007,True,4,3.145,3.000,-0.311,0.098,-0.249,0.027,2.766,0.954,2.744,0.961,0.101,0.107,0.032,153.24,100.00,100.06,-0.33,-0.38
1787304289.196,13.107,True,4,3.148,3.000,-0.330,0.127,-0.280,-0.055,2.776,0.958,2.755,0.960,0.106,0.116,0.079,152.77,100.00,100.06,-0.20,-0.25
1787304289.296,13.207,True,4,3.152,3.000,-0.359,0.186,-0.296,-0.035,2.788,0.966,2.766,0.962,0.112,0.117,0.068,152.46,100.00,100.06,-0.16,-0.21
1787304289.396,13.307,True,4,3.156,3.000,-0.329,0.061,-0.269,-0.069,2.800,0.974,2.777,0.966,0.119,0.093,0.085,152.41,100.00,100.06,-0.16,-0.20
1787304289.496,13.407,True,4,3.160,3.000,-0.329,0.030,-0.267,-0.090,2.811,0.983,2.789,0.972,0.126,0.084,0.093,152.48,100.00,100.06,-0.16,-0.21
1787304289.596,13.507,True,4,3.164,3.000,-0.364,0.104,-0.231,-0.024,2.819,0.990,2.799,0.978,0.131,0.055,0.053,152.72,100.00,100.06,-0.20,-0.25
1787304289.696,13.607,True,4,3.166,3.000,-0.383,0.137,-0.220,-0.024,2.826,0.996,2.808,0.984,0.137,0.042,0.049,153.00,100.00,100.06,-0.18,-0.23
1787304289.796,13.707,True,4,3.169,3.000,-0.387,0.121,-0.221,-0.016,2.831,1.002,2.816,0.990,0.141,0.036,0.041,153.17,100.00,100.06,-0.16,-0.21
1787304289.896,13.807,True,4,3.171,3.000,-0.377,0.062,-0.213,-0.066,2.836,1.008,2.823,0.996,0.145,0.025,0.065,153.37,100.00,100.06,-0.15,-0.20
1787304289.996,13.907,True,4,3.174,3.000,-0.352,-0.043,-0.207,-0.094,2.840,1.015,2.828,1.002,0.148,0.017,0.077,153.84,100.00,100.07,-0.26,-0.31
1787304290.096,14.007,True,4,3.183,3.000,-0.347,-0.108,-0.196,-0.088,2.843,1.023,2.833,1.009,0.151,0.006,0.069,154.09,100.00,100.06,-0.17,-0.21
1787304290.196,14.107,True,4,3.197,3.000,-0.353,-0.169,-0.217,-0.162,2.846,1.030,2.838,1.016,0.154,0.013,0.106,154.15,100.00,100.06,-0.20,-0.25
1787304290.296,14.207,True,4,3.208,3.000,-0.348,-0.248,-0.215,-0.128,2.849,1.038,2.842,1.024,0.158,0.008,0.082,154.38,100.00,100.06,-0.17,-0.22
1787304290.396,14.307,True,4,3.215,3.000,-0.381,-0.199,-0.196,-0.104,2.852,1.046,2.845,1.031,0.162,-0.007,0.064,154.58,100.00,100.06,-0.17,-0.22
1787304290.496,14.407,True,4,3.220,3.000,-0.434,-0.082,-0.143,-0.076,2.853,1.052,2.848,1.038,0.163,-0.040,0.043,154.71,100.00,100.06,-0.16,-0.21
1787304290.596,14.507,True,4,3.219,3.000,-0.495,0.082,-0.153,-0.086,2.852,1.056,2.849,1.044,0.163,-0.037,0.044,155.03,100.00,100.06,-0.16,-0.21
1787304290.696,14.607,True,4,3.210,3.000,-0.534,0.214,-0.121,-0.014,2.850,1.059,2.849,1.049,0.162,-0.057,0.001,155.51,100.00,100.07,-0.19,-0.24
1787304290.796,14.707,True,4,3.200,3.000,-0.548,0.279,-0.083,0.046,2.846,1.057,2.848,1.052,0.158,-0.079,-0.035,156.10,100.00,100.06,-0.16,-0.21
1787304290.896,14.807,True,4,3.190,3.000,-0.509,0.182,-0.010,0.080,2.839,1.052,2.845,1.052,0.150,-0.119,-0.054,156.85,100.00,100.06,-0.18,-0.23
1787304290.996,14.907,True,4,3.183,3.000,-0.464,0.059,0.024,0.056,2.830,1.046,2.840,1.050,0.140,-0.136,-0.040,157.76,100.00,100.06,-0.24,-0.29
1787304291.096,15.007,True,4,3.178,3.000,-0.433,-0.035,0.112,0.061,2.818,1.038,2.833,1.046,0.127,-0.182,-0.040,158.63,100.00,100.06,-0.16,-0.21
1787304291.196,15.107,True,4,3.177,3.000,-0.415,-0.101,0.157,0.032,2.804,1.033,2.823,1.042,0.112,-0.202,-0.021,159.49,100.00,100.06,-0.23,-0.28
1787304291.296,15.207,True,4,3.178,3.000,-0.391,-0.193,0.221,0.019,2.786,1.029,2.811,1.038,0.094,-0.231,-0.012,160.09,100.00,100.06,-0.16,-0.21
1787304291.396,15.307,True,4,3.178,3.000,-0.401,-0.185,0.267,-0.010,2.766,1.027,2.796,1.034,0.074,-0.248,0.007,160.13,100.00,100.06,-0.16,-0.21
1787304291.496,15.407,True,4,3.177,3.000,-0.430,-0.110,0.362,0.039,2.742,1.026,2.778,1.031,0.050,-0.289,-0.019,159.49,100.00,100.06,-0.16,-0.20
1787304291.596,15.507,True,4,3.175,3.000,-0.434,-0.109,0.442,0.024,2.715,1.026,2.757,1.030,0.024,-0.320,-0.010,158.67,100.00,100.06,-0.19,-0.24
1787304291.696,15.607,True,4,3.171,3.000,-0.463,-0.021,0.483,0.001,2.687,1.028,2.734,1.029,0.007,-0.328,0.003,158.22,100.00,100.07,-0.20,-0.25
1787304291.796,15.707,True,4,3.162,3.000,-0.461,-0.010,0.507,0.017,2.656,1.029,2.708,1.029,0.036,-0.324,-0.005,158.07,100.00,100.07,-0.17,-0.21
1787304291.896,15.807,True,4,3.153,3.000,-0.422,-0.106,0.512,-0.005,2.627,1.030,2.681,1.029,0.066,-0.309,0.007,158.18,100.00,100.06,-0.16,-0.21
1787304291.996,15.907,True,4,3.146,3.000,-0.435,-0.051,0.486,0.002,2.601,1.028,2.654,1.029,0.092,-0.276,0.003,158.57,100.00,100.06,-0.23,-0.28
1787304292.096,16.007,True,4,3.137,3.000,-0.457,0.038,0.460,0.063,2.576,1.027,2.628,1.028,0.116,-0.244,-0.030,158.96,100.00,100.06,-0.16,-0.21
1787304292.196,16.107,True,4,3.127,3.000,-0.454,0.053,0.410,0.106,2.556,1.024,2.604,1.027,0.136,-0.199,-0.054,159.22,100.00,100.06,-0.17,-0.22
1787304292.296,16.207,True,4,3.118,3.000,-0.434,0.020,0.359,0.119,2.540,1.020,2.583,1.025,0.152,-0.155,-0.059,159.43,100.00,100.06,-0.17,-0.21
1787304292.396,16.307,True,4,3.114,3.000,-0.400,-0.079,0.338,0.064,2.529,1.015,2.565,1.021,0.163,-0.130,-0.026,159.55,100.00,100.06,-0.16,-0.21
1787304292.496,16.407,True,4,3.110,3.000,-0.404,-0.061,0.321,0.051,2.519,1.012,2.550,1.018,0.173,-0.109,-0.017,159.47,100.01,100.07,-0.19,-0.24
1787304292.596,16.507,True,4,3.105,3.000,-0.419,-0.009,0.334,0.015,2.511,1.012,2.537,1.016,0.181,-0.106,0.005,159.26,100.01,100.08,-0.31,-0.36
1787304292.696,16.607,True,4,3.102,3.000,-0.415,-0.017,0.348,-0.076,2.503,1.016,2.525,1.016,0.189,-0.105,0.055,158.99,99.98,100.07,-0.24,-0.29
1787304292.796,16.707,True,4,3.099,3.000,-0.409,-0.034,0.357,-0.151,2.494,1.024,2.515,1.019,0.198,-0.101,0.095,158.83,100.00,100.07,-0.16,-0.21
1787304292.896,16.807,True,4,3.097,3.000,-0.412,-0.025,0.372,-0.200,2.485,1.035,2.505,1.024,0.207,-0.100,0.119,158.94,99.99,100.06,-0.16,-0.21
1787304292.996,16.907,True,4,3.091,3.000,-0.429,0.040,0.387,-0.211,2.476,1.049,2.495,1.032,0.217,-0.100,0.119,159.10,100.00,100.06,-0.24,-0.29
1787304293.096,17.007,True,4,3.084,3.000,-0.470,0.183,0.357,-0.283,2.469,1.064,2.487,1.043,0.226,-0.075,0.152,159.28,100.00,100.06,-0.16,-0.21
1787304293.196,17.107,True,4,3.071,3.000,-0.485,0.273,0.348,-0.247,2.464,1.078,2.479,1.055,0.234,-0.063,0.124,159.53,100.00,100.07,-0.17,-0.22
1787304293.296,17.207,True,4,3.059,3.000,-0.432,0.153,0.295,-0.289,2.461,1.092,2.473,1.067,0.241,-0.027,0.138,159.50,100.00,100.06,-0.16,-0.21
1787304293.396,17.307,True,4,3.056,3.000,-0.411,0.098,0.182,-0.292,2.463,1.103,2.470,1.079,0.242,0.041,0.131,159.56,100.01,100.07,-0.20,-0.25
1787304293.496,17.407,True,4,3.055,3.000,-0.414,0.105,0.080,-0.274,2.472,1.116,2.471,1.091,0.238,0.099,0.112,158.95,100.00,100.06,-0.18,-0.23
1787304293.596,17.507,True,4,3.056,3.000,-0.448,0.199,-0.052,-0.200,2.488,1.126,2.476,1.103,0.229,0.171,0.062,157.89,100.00,100.06,-0.17,-0.21
1787304293.696,17.607,True,4,3.055,3.000,-0.434,0.155,-0.161,-0.215,2.509,1.137,2.487,1.114,0.215,0.227,0.062,157.16,100.01,100.07,-0.16,-0.21
1787304293.796,17.707,True,4,3.057,3.000,-0.408,0.061,-0.269,-0.273,2.535,1.149,2.503,1.126,0.201,0.278,0.086,157.49,100.00,100.07,-0.19,-0.25
1787304293.896,17.807,True,4,3.078,3.000,-0.416,-0.005,-0.389,-0.278,2.566,1.162,2.524,1.138,0.188,0.333,0.079,158.47,100.00,100.06,-0.17,-0.22
1787304293.996,17.907,True,4,3.112,3.000,-0.455,-0.034,-0.512,-0.302,2.602,1.177,2.550,1.151,0.179,0.386,0.082,159.68,100.00,100.06,-0.23,-0.28
1787304294.096,18.007,True,4,3.139,3.000,-0.452,-0.163,-0.591,-0.372,2.641,1.193,2.580,1.165,0.178,0.411,0.110,160.17,100.00,100.06,-0.16,-0.21
1787304294.196,18.107,True,4,3.159,3.000,-0.533,-0.017,-0.646,-0.358,2.681,1.207,2.614,1.179,0.185,0.420,0.091,159.93,100.00,100.06,-0.17,-0.22
1787304294.296,18.207,True,4,3.167,3.000,-0.554,-0.004,-0.689,-0.285,2.722,1.218,2.650,1.192,0.198,0.420,0.040,159.03,99.99,100.06,-0.16,-0.21
1787304294.396,18.307,True,4,3.165,3.000,-0.513,-0.138,-0.681,-0.229,2.761,1.223,2.687,1.203,0.212,0.390,0.001,157.62,100.00,100.06,-0.16,-0.21
1787304294.496,18.407,True,4,3.159,3.000,-0.568,0.038,-0.670,-0.135,2.801,1.222,2.725,1.209,0.227,0.359,-0.058,156.24,100.00,100.06,-0.16,-0.21
1787304294.596,18.507,True,4,3.144,3.000,-0.576,0.110,-0.569,0.003,2.836,1.215,2.762,1.211,0.240,0.277,-0.138,154.77,100.00,100.06,-0.16,-0.21
1787304294.696,18.607,True,4,3.120,3.000,-0.556,0.133,-0.477,0.086,2.859,1.203,2.794,1.208,0.246,0.204,-0.185,153.05,100.00,100.06,-0.17,-0.22
1787304294.796,18.707,True,4,3.098,3.000,-0.556,0.208,-0.386,0.191,2.875,1.184,2.821,1.200,0.244,0.133,-0.240,151.49,100.00,100.06,-0.16,-0.20
1787304294.896,18.807,True,4,3.081,3.000,-0.526,0.180,-0.286,0.266,2.884,1.160,2.842,1.187,0.237,0.062,-0.274,150.23,100.00,100.06,-0.20,-0.24
1787304294.996,18.907,True,4,3.065,3.000,-0.480,0.101,-0.199,0.371,2.889,1.132,2.858,1.169,0.226,0.002,-0.322,149.51,100.00,100.07,-0.37,-0.42
1787304295.096,19.007,True,4,3.051,3.000,-0.407,-0.069,-0.116,0.393,2.889,1.099,2.868,1.146,0.211,-0.054,-0.320,149.15,99.99,100.06,-0.17,-0.21
1787304295.196,19.107,True,4,3.038,3.000,-0.406,-0.025,-0.079,0.480,2.882,1.065,2.873,1.119,0.194,-0.079,-0.352,148.66,100.00,100.07,-0.17,-0.22
1787304295.296,19.207,True,4,3.022,3.000,-0.407,0.042,-0.010,0.540,2.869,1.030,2.871,1.089,0.177,-0.118,-0.366,148.43,100.00,100.06,-0.16,-0.20
1787304295.396,19.307,True,4,3.003,3.000,-0.353,-0.044,0.013,0.498,2.855,0.995,2.866,1.058,0.166,-0.129,-0.322,148.50,100.00,100.06,-0.17,-0.22
1787304295.496,19.407,True,4,2.988,3.000,-0.341,-0.022,0.058,0.508,2.840,0.965,2.857,1.027,0.159,-0.151,-0.308,148.77,100.00,100.06,-0.17,-0.21
1787304295.596,19.507,True,4,2.974,3.000,-0.310,-0.056,0.105,0.456,2.823,0.939,2.846,0.998,0.155,-0.170,-0.259,149.50,100.01,100.07,-0.19,-0.24
1787304295.696,19.607,True,4,2.954,3.000,-0.319,0.056,0.129,0.387,2.804,0.918,2.832,0.971,0.153,-0.176,-0.202,150.61,99.99,100.06,-0.18,-0.23
1787304295.796,19.707,True,4,2.929,3.000,-0.325,0.184,0.155,0.312,2.782,0.902,2.815,0.948,0.151,-0.181,-0.144,152.19,100.00,100.06,-0.19,-0.23
1787304295.896,19.807,True,4,2.906,3.000,-0.292,0.184,0.219,0.235,2.761,0.892,2.797,0.929,0.148,-0.206,-0.088,153.61,100.00,100.06,-0.16,-0.21
1787304295.996,19.907,True,4,2.894,3.000,-0.236,0.074,0.177,0.088,2.740,0.889,2.778,0.916,0.142,-0.170,0.004,155.00,100.00,100.07,-0.27,-0.32
1787304296.096,20.007,True,4,2.891,3.000,-0.196,-0.022,0.138,0.001,2.722,0.893,2.759,0.908,0.133,-0.137,0.058,155.97,99.99,100.06,-0.17,-0.22
1787304296.196,20.107,True,4,2.894,3.000,-0.193,-0.033,0.102,-0.079,2.707,0.903,2.742,0.907,0.121,-0.106,0.106,156.43,100.01,100.07,-0.17,-0.22
1787304296.296,20.207,True,4,2.902,3.000,-0.169,-0.127,0.061,-0.145,2.698,0.918,2.727,0.910,0.105,-0.074,0.141,156.53,100.00,100.06,-0.16,-0.21
1787304296.396,20.307,True,4,2.916,3.000,-0.147,-0.238,0.071,-0.193,2.691,0.935,2.715,0.918,0.088,-0.072,0.163,156.33,100.00,100.06,-0.17,-0.21
1787304296.496,20.407,True,4,2.927,3.000,-0.157,-0.245,-0.038,-0.258,2.684,0.953,2.705,0.930,0.071,-0.004,0.193,156.80,100.01,100.07,-0.28,-0.33
1787304296.596,20.507,True,4,2.930,3.000,-0.252,0.035,-0.122,-0.232,2.683,0.972,2.698,0.944,0.052,0.047,0.170,157.66,100.00,100.07,-0.26,-0.31
1787304296.696,20.607,True,4,2.923,3.000,-0.258,0.086,-0.204,-0.201,2.688,0.989,2.695,0.959,0.034,0.094,0.144,158.16,99.99,100.06,-0.19,-0.24
1787304296.796,20.707,True,4,2.910,3.000,-0.265,0.167,-0.281,-0.133,2.698,1.002,2.696,0.973,0.021,0.136,0.096,158.48,100.00,100.06,-0.17,-0.21
1787304296.896,20.807,True,4,2.897,3.000,-0.229,0.123,-0.312,-0.063,2.711,1.011,2.701,0.986,0.022,0.151,0.050,158.72,100.00,100.06,-0.16,-0.21
