t_wall,t_rel,armed,mode,alt,alt_sp,climb_rate,a_up,a_total,a_cmd,thrust,x,y,x_filt,y_filt,dxy,vx,vy,roll_deg,pitch_deg,yaw_deg,roll_ref_deg,pitch_ref_deg,roll_rate,pitch_rate,yaw_rate,pwm_roll,pwm_pitch,pwm_yaw,pwm_thr,dt_ms,sched_slip_ms,att_age_ms,pos_age_ms
1787304085.705,16.439,True,1,-0.231,-0.231,-0.308,0.925,10.732,10.726,0.342,2.320,0.079,2.317,0.104,0.025,0.003,-0.006,-1.25,1.36,152.31,-0.03,-0.05,0.127,-0.148,-0.003,1534,1536,1479,1546,0.00,10.00,10.16,10.12
1787304085.715,16.449,True,1,-0.231,-0.228,-0.308,0.937,10.744,10.738,0.343,2.320,0.079,2.317,0.103,0.025,0.003,-0.006,-1.25,1.36,152.31,-0.04,-0.05,0.127,-0.148,-0.003,1534,1536,1479,1547,10.06,10.06,20.23,20.18
1787304085.725,16.459,True,1,-0.231,-0.225,-0.308,0.949,10.756,10.750,0.343,2.320,0.079,2.317,0.102,0.025,0.003,-0.006,-1.25,1.36,152.31,-0.04,-0.06,0.126,-0.149,-0.003,1533,1536,1479,1547,10.00,10.06,30.23,30.18
1787304085.735,16.469,True,1,-0.231,-0.222,-0.308,0.961,10.768,10.762,0.344,2.320,0.079,2.317,0.102,0.025,0.003,-0.006,-1.25,1.36,152.31,-0.05,-0.06,0.126,-0.149,-0.003,1533,1536,1479,1548,10.00,10.06,40.23,40.18
1787304085.745,16.479,True,1,-0.231,-0.219,-0.308,0.974,10.780,10.775,0.344,2.320,0.079,2.317,0.101,0.025,0.003,-0.006,-1.25,1.36,152.31,-0.05,-0.06,0.125,-0.149,-0.003,1533,1536,1479,1548,10.00,10.06,50.22,50.18
1787304085.755,16.489,True,1,-0.231,-0.216,-0.308,0.986,10.792,10.787,0.344,2.320,0.079,2.317,0.100,0.025,0.003,-0.006,-1.25,1.36,152.31,-0.06,-0.06,0.125,-0.149,-0.003,1533,1536,1479,1548,10.00,10.06,60.23,60.18
1787304085.766,16.500,True,1,-0.240,-0.213,-0.313,1.047,10.854,10.848,0.346,2.320,0.077,2.317,0.099,0.027,0.002,-0.006,-1.25,1.36,152.31,-0.06,-0.06,0.124,-0.149,-0.003,1533,1536,1479,1551,10.00,10.06,-0.47,-0.52
1787304085.775,16.509,True,1,-0.240,-0.210,-0.313,1.060,10.866,10.860,0.347,2.320,0.077,2.317,0.099,0.027,0.002,-0.006,-1.25,1.36,152.31,-0.07,-0.07,0.124,-0.149,-0.003,1533,1536,1479,1551,10.00,10.06,9.53,9.48
1787304085.785,16.519,True,1,-0.240,-0.207,-0.313,1.072,10.879,10.873,0.347,2.320,0.077,2.317,0.098,0.027,0.002,-0.006,-1.25,1.36,152.31,-0.07,-0.07,0.123,-0.150,-0.003,1533,1536,1479,1551,10.00,10.06,19.53,19.48
1787304085.795,16.529,True,1,-0.240,-0.204,-0.313,1.084,10.891,10.885,0.347,2.320,0.077,2.317,0.097,0.027,0.002,-0.006,-1.25,1.36,152.31,-0.08,-0.07,0.123,-0.150,-0.003,1533,1536,1479,1552,10.00,10.06,29.53,29.48
